Unnamed: 0,statement,label,city,country,correct_country,twoshot_prompt
317,The city of Manaus is in Turkey.,0,Manaus,Turkey,Brazil,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Manaus is in Turkey. This statement is:"
318,The city of Jaboatao dos Guararapes is in Brazil.,1,Jaboatao dos Guararapes,Brazil,Brazil,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Jaboatao dos Guararapes is in Brazil. This statement is:"
319,The city of Jaboatao dos Guararapes is in Myanmar.,0,Jaboatao dos Guararapes,Myanmar,Brazil,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Jaboatao dos Guararapes is in Myanmar. This statement is:"
320,The city of Kakamega is in Kenya.,1,Kakamega,Kenya,Kenya,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Kakamega is in Kenya. This statement is:"
321,The city of Kakamega is in Russia.,0,Kakamega,Russia,Kenya,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Kakamega is in Russia. This statement is:"
322,The city of Agadir is in Morocco.,1,Agadir,Morocco,Morocco,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Agadir is in Morocco. This statement is:"
323,The city of Agadir is in Bangladesh.,0,Agadir,Bangladesh,Morocco,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Agadir is in Bangladesh. This statement is:"
324,The city of Ulan Bator is in Mongolia.,1,Ulan Bator,Mongolia,Mongolia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Ulan Bator is in Mongolia. This statement is:"
325,The city of Ulan Bator is in Ukraine.,0,Ulan Bator,Ukraine,Mongolia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Ulan Bator is in Ukraine. This statement is:"
326,The city of Muscat is in Oman.,1,Muscat,Oman,Oman,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Muscat is in Oman. This statement is:"
327,The city of Muscat is in Bangladesh.,0,Muscat,Bangladesh,Oman,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Muscat is in Bangladesh. This statement is:"
328,The city of Paranaque City is in the Philippines.,1,Paranaque City,the Philippines,the Philippines,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Paranaque City is in the Philippines. This statement is:"
329,The city of Paranaque City is in India.,0,Paranaque City,India,the Philippines,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Paranaque City is in India. This statement is:"
330,The city of Rahim Yar Khan is in Pakistan.,1,Rahim Yar Khan,Pakistan,Pakistan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Rahim Yar Khan is in Pakistan. This statement is:"
331,The city of Rahim Yar Khan is in Lithuania.,0,Rahim Yar Khan,Lithuania,Pakistan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Rahim Yar Khan is in Lithuania. This statement is:"
332,The city of Balikpapan is in Indonesia.,1,Balikpapan,Indonesia,Indonesia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Balikpapan is in Indonesia. This statement is:"
333,The city of Balikpapan is in Japan.,0,Balikpapan,Japan,Indonesia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Balikpapan is in Japan. This statement is:"
334,The city of Guarulhos is in Brazil.,1,Guarulhos,Brazil,Brazil,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Guarulhos is in Brazil. This statement is:"
335,The city of Guarulhos is in China.,0,Guarulhos,China,Brazil,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Guarulhos is in China. This statement is:"
336,The city of Volgograd is in Russia.,1,Volgograd,Russia,Russia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Volgograd is in Russia. This statement is:"
337,The city of Volgograd is in Nigeria.,0,Volgograd,Nigeria,Russia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Volgograd is in Nigeria. This statement is:"
338,The city of Ulyanovsk is in Russia.,1,Ulyanovsk,Russia,Russia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Ulyanovsk is in Russia. This statement is:"
339,The city of Ulyanovsk is in Ukraine.,0,Ulyanovsk,Ukraine,Russia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Ulyanovsk is in Ukraine. This statement is:"
340,The city of Kota Bharu is in Malaysia.,1,Kota Bharu,Malaysia,Malaysia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Kota Bharu is in Malaysia. This statement is:"
341,The city of Kota Bharu is in Norway.,0,Kota Bharu,Norway,Malaysia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Kota Bharu is in Norway. This statement is:"
342,The city of Sarajevo is in Bosnia and Herzegovina.,1,Sarajevo,Bosnia and Herzegovina,Bosnia and Herzegovina,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Sarajevo is in Bosnia and Herzegovina. This statement is:"
343,The city of Sarajevo is in South Africa.,0,Sarajevo,South Africa,Bosnia and Herzegovina,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Sarajevo is in South Africa. This statement is:"
344,The city of Maceio is in Brazil.,1,Maceio,Brazil,Brazil,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Maceio is in Brazil. This statement is:"
345,The city of Maceio is in China.,0,Maceio,China,Brazil,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Maceio is in China. This statement is:"
346,The city of Joao Pessoa is in Brazil.,1,Joao Pessoa,Brazil,Brazil,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Joao Pessoa is in Brazil. This statement is:"
347,The city of Joao Pessoa is in South Africa.,0,Joao Pessoa,South Africa,Brazil,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Joao Pessoa is in South Africa. This statement is:"
348,The city of Shangqiu is in China.,1,Shangqiu,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Shangqiu is in China. This statement is:"
349,The city of Shangqiu is in South Korea.,0,Shangqiu,South Korea,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Shangqiu is in South Korea. This statement is:"
350,The city of Zhangye is in China.,1,Zhangye,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Zhangye is in China. This statement is:"
351,The city of Zhangye is in Venezuela.,0,Zhangye,Venezuela,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Zhangye is in Venezuela. This statement is:"
352,The city of Xuanzhou is in China.,1,Xuanzhou,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Xuanzhou is in China. This statement is:"
353,The city of Xuanzhou is in Tanzania.,0,Xuanzhou,Tanzania,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Xuanzhou is in Tanzania. This statement is:"
354,The city of Wuhan is in China.,1,Wuhan,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Wuhan is in China. This statement is:"
355,The city of Wuhan is in Egypt.,0,Wuhan,Egypt,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Wuhan is in Egypt. This statement is:"
356,The city of Nanchang is in China.,1,Nanchang,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Nanchang is in China. This statement is:"
357,The city of Nanchang is in Malaysia.,0,Nanchang,Malaysia,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Nanchang is in Malaysia. This statement is:"
358,The city of Luancheng is in China.,1,Luancheng,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Luancheng is in China. This statement is:"
359,The city of Luancheng is in Brazil.,0,Luancheng,Brazil,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Luancheng is in Brazil. This statement is:"
360,The city of Liuzhou is in China.,1,Liuzhou,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Liuzhou is in China. This statement is:"
361,The city of Liuzhou is in Russia.,0,Liuzhou,Russia,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Liuzhou is in Russia. This statement is:"
362,The city of Guangyuan is in China.,1,Guangyuan,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Guangyuan is in China. This statement is:"
363,The city of Guangyuan is in Mexico.,0,Guangyuan,Mexico,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Guangyuan is in Mexico. This statement is:"
364,The city of Bijie is in China.,1,Bijie,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bijie is in China. This statement is:"
365,The city of Bijie is in Indonesia.,0,Bijie,Indonesia,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bijie is in Indonesia. This statement is:"
366,The city of Zhoushan is in China.,1,Zhoushan,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Zhoushan is in China. This statement is:"
367,The city of Zhoushan is in the Philippines.,0,Zhoushan,the Philippines,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Zhoushan is in the Philippines. This statement is:"
368,The city of Hegang is in China.,1,Hegang,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Hegang is in China. This statement is:"
369,The city of Hegang is in Russia.,0,Hegang,Russia,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Hegang is in Russia. This statement is:"
370,The city of E'zhou is in China.,1,E'zhou,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of E'zhou is in China. This statement is:"
371,The city of E'zhou is in Malaysia.,0,E'zhou,Malaysia,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of E'zhou is in Malaysia. This statement is:"
372,The city of Campos dos Goytacazes is in Brazil.,1,Campos dos Goytacazes,Brazil,Brazil,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Campos dos Goytacazes is in Brazil. This statement is:"
373,The city of Campos dos Goytacazes is in Vietnam.,0,Campos dos Goytacazes,Vietnam,Brazil,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Campos dos Goytacazes is in Vietnam. This statement is:"
374,The city of Bucharest is in Romania.,1,Bucharest,Romania,Romania,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bucharest is in Romania. This statement is:"
375,The city of Bucharest is in Italy.,0,Bucharest,Italy,Romania,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bucharest is in Italy. This statement is:"
376,The city of Ansan-si is in South Korea.,1,Ansan-si,South Korea,South Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Ansan-si is in South Korea. This statement is:"
377,The city of Ansan-si is in Canada.,0,Ansan-si,Canada,South Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Ansan-si is in Canada. This statement is:"
378,The city of Casablanca is in Morocco.,1,Casablanca,Morocco,Morocco,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Casablanca is in Morocco. This statement is:"
379,The city of Casablanca is in Russia.,0,Casablanca,Russia,Morocco,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Casablanca is in Russia. This statement is:"
380,The city of Coyoacan is in Mexico.,1,Coyoacan,Mexico,Mexico,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Coyoacan is in Mexico. This statement is:"
381,The city of Coyoacan is in Kenya.,0,Coyoacan,Kenya,Mexico,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Coyoacan is in Kenya. This statement is:"
382,The city of Oyo is in Nigeria.,1,Oyo,Nigeria,Nigeria,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Oyo is in Nigeria. This statement is:"
383,The city of Oyo is in China.,0,Oyo,China,Nigeria,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Oyo is in China. This statement is:"
384,The city of Pasig City is in the Philippines.,1,Pasig City,the Philippines,the Philippines,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Pasig City is in the Philippines. This statement is:"
385,The city of Pasig City is in Morocco.,0,Pasig City,Morocco,the Philippines,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Pasig City is in Morocco. This statement is:"
386,The city of Kano is in Nigeria.,1,Kano,Nigeria,Nigeria,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Kano is in Nigeria. This statement is:"
387,The city of Kano is in China.,0,Kano,China,Nigeria,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Kano is in China. This statement is:"
388,The city of Bahawalpur is in Pakistan.,1,Bahawalpur,Pakistan,Pakistan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bahawalpur is in Pakistan. This statement is:"
389,The city of Bahawalpur is in China.,0,Bahawalpur,China,Pakistan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bahawalpur is in China. This statement is:"
390,The city of New Kingston is in Jamaica.,1,New Kingston,Jamaica,Jamaica,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of New Kingston is in Jamaica. This statement is:"
391,The city of New Kingston is in South Africa.,0,New Kingston,South Africa,Jamaica,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of New Kingston is in South Africa. This statement is:"
392,The city of Pyongyang is in North Korea.,1,Pyongyang,North Korea,North Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Pyongyang is in North Korea. This statement is:"
393,The city of Pyongyang is in Argentina.,0,Pyongyang,Argentina,North Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Pyongyang is in Argentina. This statement is:"
394,The city of Shymkent is in Kazakhstan.,1,Shymkent,Kazakhstan,Kazakhstan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Shymkent is in Kazakhstan. This statement is:"
395,The city of Shymkent is in China.,0,Shymkent,China,Kazakhstan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Shymkent is in China. This statement is:"
396,The city of Tlalpan is in Mexico.,1,Tlalpan,Mexico,Mexico,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Tlalpan is in Mexico. This statement is:"
397,The city of Tlalpan is in Egypt.,0,Tlalpan,Egypt,Mexico,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Tlalpan is in Egypt. This statement is:"
398,The city of Kemerovo is in Russia.,1,Kemerovo,Russia,Russia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Kemerovo is in Russia. This statement is:"
399,The city of Kemerovo is in India.,0,Kemerovo,India,Russia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Kemerovo is in India. This statement is:"
400,The city of Zaporizhzhya is in Ukraine.,1,Zaporizhzhya,Ukraine,Ukraine,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Zaporizhzhya is in Ukraine. This statement is:"
401,The city of Zaporizhzhya is in South Korea.,0,Zaporizhzhya,South Korea,Ukraine,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Zaporizhzhya is in South Korea. This statement is:"
402,The city of Iztapalapa is in Mexico.,1,Iztapalapa,Mexico,Mexico,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Iztapalapa is in Mexico. This statement is:"
403,The city of Iztapalapa is in Yemen.,0,Iztapalapa,Yemen,Mexico,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Iztapalapa is in Yemen. This statement is:"
404,The city of Aguascalientes is in Mexico.,1,Aguascalientes,Mexico,Mexico,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Aguascalientes is in Mexico. This statement is:"
405,The city of Aguascalientes is in China.,0,Aguascalientes,China,Mexico,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Aguascalientes is in China. This statement is:"
406,The city of Kuala Lumpur is in Malaysia.,1,Kuala Lumpur,Malaysia,Malaysia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Kuala Lumpur is in Malaysia. This statement is:"
407,The city of Kuala Lumpur is in Oman.,0,Kuala Lumpur,Oman,Malaysia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Kuala Lumpur is in Oman. This statement is:"
408,The city of Warri is in Nigeria.,1,Warri,Nigeria,Nigeria,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Warri is in Nigeria. This statement is:"
409,The city of Warri is in China.,0,Warri,China,Nigeria,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Warri is in China. This statement is:"
410,The city of Peshawar is in Pakistan.,1,Peshawar,Pakistan,Pakistan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Peshawar is in Pakistan. This statement is:"
411,The city of Peshawar is in Tanzania.,0,Peshawar,Tanzania,Pakistan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Peshawar is in Tanzania. This statement is:"
412,The city of Kagoshima is in Japan.,1,Kagoshima,Japan,Japan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Kagoshima is in Japan. This statement is:"
413,The city of Kagoshima is in India.,0,Kagoshima,India,Japan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Kagoshima is in India. This statement is:"
414,The city of Hamamatsu is in Japan.,1,Hamamatsu,Japan,Japan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Hamamatsu is in Japan. This statement is:"
415,The city of Hamamatsu is in Russia.,0,Hamamatsu,Russia,Japan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Hamamatsu is in Russia. This statement is:"
416,The city of Cheongju-si is in South Korea.,1,Cheongju-si,South Korea,South Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Cheongju-si is in South Korea. This statement is:"
417,The city of Cheongju-si is in India.,0,Cheongju-si,India,South Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Cheongju-si is in India. This statement is:"
418,The city of Ghaziabad is in India.,1,Ghaziabad,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Ghaziabad is in India. This statement is:"
419,The city of Ghaziabad is in South Korea.,0,Ghaziabad,South Korea,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Ghaziabad is in South Korea. This statement is:"
420,The city of Cochin is in India.,1,Cochin,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Cochin is in India. This statement is:"
421,The city of Cochin is in China.,0,Cochin,China,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Cochin is in China. This statement is:"
422,The city of Ahmedabad is in India.,1,Ahmedabad,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Ahmedabad is in India. This statement is:"
423,The city of Ahmedabad is in China.,0,Ahmedabad,China,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Ahmedabad is in China. This statement is:"
424,The city of Sulaymaniyah is in Iraq.,1,Sulaymaniyah,Iraq,Iraq,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Sulaymaniyah is in Iraq. This statement is:"
425,The city of Sulaymaniyah is in Turkey.,0,Sulaymaniyah,Turkey,Iraq,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Sulaymaniyah is in Turkey. This statement is:"
426,The city of Hamadan is in Iran.,1,Hamadan,Iran,Iran,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Hamadan is in Iran. This statement is:"
427,The city of Hamadan is in Pakistan.,0,Hamadan,Pakistan,Iran,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Hamadan is in Pakistan. This statement is:"
428,The city of Omsk is in Russia.,1,Omsk,Russia,Russia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Omsk is in Russia. This statement is:"
429,The city of Omsk is in China.,0,Omsk,China,Russia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Omsk is in China. This statement is:"
430,The city of Ta'if is in Saudi Arabia.,1,Ta'if,Saudi Arabia,Saudi Arabia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Ta'if is in Saudi Arabia. This statement is:"
431,The city of Ta'if is in Venezuela.,0,Ta'if,Venezuela,Saudi Arabia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Ta'if is in Venezuela. This statement is:"
432,The city of Stockholm is in Sweden.,1,Stockholm,Sweden,Sweden,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Stockholm is in Sweden. This statement is:"
433,The city of Stockholm is in Russia.,0,Stockholm,Russia,Sweden,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Stockholm is in Russia. This statement is:"
434,The city of Siliguri is in India.,1,Siliguri,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Siliguri is in India. This statement is:"
435,The city of Siliguri is in China.,0,Siliguri,China,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Siliguri is in China. This statement is:"
436,The city of Baghdad is in Iraq.,1,Baghdad,Iraq,Iraq,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Baghdad is in Iraq. This statement is:"
437,The city of Baghdad is in China.,0,Baghdad,China,Iraq,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Baghdad is in China. This statement is:"
438,The city of Al Basrah al Qadimah is in Iraq.,1,Al Basrah al Qadimah,Iraq,Iraq,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Al Basrah al Qadimah is in Iraq. This statement is:"
439,The city of Al Basrah al Qadimah is in China.,0,Al Basrah al Qadimah,China,Iraq,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Al Basrah al Qadimah is in China. This statement is:"
440,The city of Krakow is in Poland.,1,Krakow,Poland,Poland,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Krakow is in Poland. This statement is:"
441,The city of Krakow is in South Korea.,0,Krakow,South Korea,Poland,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Krakow is in South Korea. This statement is:"
442,The city of Tolyatti is in Russia.,1,Tolyatti,Russia,Russia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Tolyatti is in Russia. This statement is:"
443,The city of Tolyatti is in Ghana.,0,Tolyatti,Ghana,Russia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Tolyatti is in Ghana. This statement is:"
444,The city of Bandar Lampung is in Indonesia.,1,Bandar Lampung,Indonesia,Indonesia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bandar Lampung is in Indonesia. This statement is:"
445,The city of Bandar Lampung is in South Africa.,0,Bandar Lampung,South Africa,Indonesia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bandar Lampung is in South Africa. This statement is:"
446,The city of Tucson is in the United States.,1,Tucson,the United States,the United States,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Tucson is in the United States. This statement is:"
447,The city of Tucson is in Canada.,0,Tucson,Canada,the United States,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Tucson is in Canada. This statement is:"
448,The city of Can Tho is in Vietnam.,1,Can Tho,Vietnam,Vietnam,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Can Tho is in Vietnam. This statement is:"
449,The city of Can Tho is in Venezuela.,0,Can Tho,Venezuela,Vietnam,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Can Tho is in Venezuela. This statement is:"
450,The city of Bouake is in Côte d'Ivoire.,1,Bouake,Côte d'Ivoire,Côte d'Ivoire,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bouake is in Côte d'Ivoire. This statement is:"
451,The city of Bouake is in China.,0,Bouake,China,Côte d'Ivoire,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bouake is in China. This statement is:"
452,The city of Abobo is in Côte d'Ivoire.,1,Abobo,Côte d'Ivoire,Côte d'Ivoire,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Abobo is in Côte d'Ivoire. This statement is:"
453,The city of Abobo is in India.,0,Abobo,India,Côte d'Ivoire,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Abobo is in India. This statement is:"
454,The city of Shihezi is in China.,1,Shihezi,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Shihezi is in China. This statement is:"
